ID	Сборник	НАЗВАНИЕ	ГОД	ТЕКСТ
651	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Нас дурацкое счастье минует..."""	2000	"Нас дурацкое счастье минует. 
Нас минуют печаль и беда. 
Неужели настанет минута, 
когда я не увижу Тебя?
И неважно, что, брошенный в жижу
мирового слепого дождя, 
больше я никого не увижу. 
Страшно, что не увижу Тебя."
652	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Вдоль моря	1998	"На закате бегу между пляжем и морем, 
что барашками кажется мухомором, 
мимо пляжей, которые кажутся жизнью, 
мимо жизни, которая кажется пляжем, 
мимо моря, которое кажется смертью, 
мимо смерти, которая кажется жизнью,
пляж, который казался десяткой червов, 
загорев, оказался пиковой масти, 
мимо горя, которое кажется счастьем, 
мимо счастья, которого, кажется, нету, 
мимо розы, которая кажется чайной, 
только пахнет вином, унесенным из чайной, 
мимо тайны, которая кажется дурой, 
мимо дуры, которая кажется тайной, 
мимо тайны, которая кажется тенью, 
мимо тени, оказывающейся светом,
пробегаю по кругу, что кажется волей, 
меж ворами, которые, кажется, в «вольво», 
меж собакой и волком, что кажется другом, 
между дружбой, которая кажется цепью, 
мимо церкви, которая кажется Богом, 
мимо Бога, оказывающегося церковью, 
мимо молний, которые кажутся чайкой, 
мимо чайки, что вскоре окажется МХАТом, 
мимо молний с копьем, как святой Егорий, 
мимо моря, тебя растворившего моря,
полюбила, а кажется, посмеялась, 
время —  секс, что кажется безопасным, 
пронеслась —  а кажется, что навеки, 
навсегда —  а кажется, что напрасно."
653	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Шаланда желаний	1997	"Шаланда уходит. С шаландой неладно. 
Шаланда желаний кричит в одиночестве. 
Послушайте зов сумасшедшей шаланды, 
шаланды -  шаландышаландышаландыша -  
ландыша  хочется!
А может, с кормы прокричала челночница? 
А может, баржа недодолбанной бандерши? 
Нам ландыша хочется! Ландыша хочется! 
Как страшно качаться под всею командой! 
В трансляции вандала, вандала, вандала 
«Лаванда» лавандалаванда не кончится.
А море, вчерашнее рашен, дышало, 
кидало до берега пачки цветочные.
И все писсуары Марселя Дюшана 
белели талантливо. Но не точно.
И в этом весь смысл королев и шалавы 
последней, пронзающий до позвоночника, 
и шепот моей сумасшедшей шаланды, 
что я не услышал:
«Ландыша  хочется...»"
654	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"Море (""Проплыву, продышу, проживу брассом..."")"	1997	"Проплыву, продышу, проживу брассом.
Проплыву, проживу, пролюблю кролем.
Под моей треугольной рукой —  мордой, 
словно конь под дугой, вырывается море.
Я люблю тебя, море, за то, что ты есть море.
Лишь завижу тебя, сразу хочется снять шмотки.
Мы любовники, море. Встречаемся мы голыми.
Как в любовь или смерть. Мне милее любовь, море.
Заплываю в зеленую страсть с мола.
Миром правит amoure. А иначе берут Смольный. 
«Nevermore» —  над Венерой кричит ворон.
«More еще, еще тоге» —  отвечает мое море.
То ты —  Моцарт, а то корабли мочишь.
Я к тебе прилечу —  в меня бросишь сервиз, Мойра! 
Кто позволил тебя у России отнять, море?
Ты из нашего мора, вздохнув, эмигрируешь, море.
Проживу, прохриплю, продышу смогом.
Смою хлоркой московской из пор твой запах.
Мое сердцебиенье кому ты отдашь завтра?
Я люблю тебя, море, за то, что ты есть Море."
655	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	А ты меня помнишь?	1998	"Ты мне прозвонилась сквозь страшную полночь:
«А ты меня помнишь?»
Ну, как позабыть тебя, ангел-звереныш?
«А ты меня помнишь?» —
твой голос настаивал, стонущ и тонущ —
А ты меня помнишь? а ты меня помнишь? 
и ухало эхо во тьме телефонищ —  
рыдало по-русски, in English, in Polish —  
you promise? astonish... а ты меня помнишь?
А ты меня помнишь, дорога до Бронниц?
И нос твой, напудренный утренним пончиком?
В ночном самолете отстегнуты помочи —  
вы, кресла, нас помните?
Понять, обмануться, окликнуть по имени:
А ты меня...
Помнишь? Как скорая помощь, 
в беспамятном веке запомни одно лишь —
«А ты меня помнишь?»"
656	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Теряю голос	2000	"1
Голос теряю. Теперь не про нас 
Гостелерадио.
Врач мой испуган. Ликует Парнас -  
голос теряю.
Люди не слышат заветнейших строк, 
просят, садисты!
Голос, как вор на заслуженный срок, 
садится.
В  праве на голос отказано мне. 
Бьют по колесам,
чтоб хоть один в голосистой стране 
был безголосым.
Воет стыдоба. Взрывается кейс. 
Я —  телеящик
с хором из критиков и критикесс, 
слух потерявших.
Веру наивную не верну.
Жизнь раскололась.
Ржет вся страна, потеряв всю страну. 
Я ж —  только голос...
Разве вернуть с мировых сквозняков 
холодом арники
голос, украденный тьмой Лужников 
и холлом Карнеги?!
Мной терапевтов замучена рать. 
Жру карамели.
Вам повезло. Вам не страшно терять. 
Вы не имели.
В Бюро находок длится дележ 
острых сокровищ.
Где ты потерянное найдешь?
Там же, где совесть.
Для миллионов я стал тишиной 
материальной.
Я свою душу -  единственный мой 
голос теряю.
2
Все мы простуженные теперь. 
Сбивши портьеры, 
свищет в мозгах наших ветер потерь! 
Время потери.
Хватит, товарищ, ныть, идиот! 
Вытащи кодак.
Ты потеряешь -  кто-то найдет. 
Время находок.
Где кандидат потерял голоса?
В компре кассеты?
Жизнь моя —  белая
еще не выпущенной
Го , горе!
Р you,
м м 
ос те ю !
3
...Ради Тебя, ради в темном ряду 
белого платья 
руки безмолвные разведу 
жестом распятья.
И остроумный новоосел —  
кейс из винила —  
скажет: «А ртист! Сам руками развел. 
Мол, извинился».
Не для его музыкальных частот, 
не на весь глобус, 
новый мой голос беззвучно поет —  
внутренний голос.
Жест бессловесный, безмолвный
мой крик
слышат не уши.
У кого есть они —  напрямик 
слушают души."
657	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Немая	2000	"К машине подошла немая, 
где поворот на монастырь.
Не денег —  время было мало. 
И я стекло не опустил.
Немая что-то понимала 
и усмехнулась в беспредел.
И что-то в жизни поменяла.
Теперь, когда я онемел,
я столько раз припоминаю, 
как мне —  и жалостно, и зло —  
жестикулирует немая 
сквозь безразличное стекло."
658	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Храм	1996	"На сердце хмара.
В век безвременья
мы не построили своего храма.
Мы все — римейки.
Мы возвели, что взорвали хамы,
Нас небеса еще не простили -
мы не построили своего храма. 
В нас нету стиля.
Мышки-норушки, 
не сеем сами.
Красой нарышкинской, душой 
нарушенной,
чужими молимся словесами.
Тишь в нашей заводи.
Но скажем прямо —
создал же Гауди молитву-ауди.
Но мы не создали своего  храма.
Не в форме порно.
Но даже в сердце
мы не построили нерукотворной
домашней церкви.
Бог нас не видит.
И оттого
все наши драмы —  
мы не построили своего 
храма."
659	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Помилуй, Господи	1997	"Отпевали Детонатовича в закрытом гробу.
Как пантера сидит телекамера у оператора на горбу.
Последнею хохмой чертовой печаля иконостас,
Мария повязку черную повязала ему на глаз.
Пиратские череп и кости прикрыли зрачок его...
Упокой  душу, Господи , усопшего  раба  Твоего.
А он отплывал пиратствовать в воды, где ждет Харон. 
Сатана или Санта-Мария встретят его паром?
Изящные череп и кости, скрещенные внизу, 
как фото на будущий паспорт, лежат на его глазу.
Стилист? хулиган? двурушник?
Гроб пуст. В нем нет никого.
Упокой, Господи , душу уставшего  шута  Твоего.
Спасли меня в «Новом мире» когда-то, пират пера.
А вдруг и тогда схохмили? все это теперь мура.
Земли переделкинской горсточку брошу на гроб его.
Упокой  душу, Господи , духовного  бомжа  Твоего .
Вы выпили жизни чашу, полную денатурата.
Литература частная, вздохни по Андрею Фанатовичу. 
Успокой, Господь, нашу агрессию,
гордынь мою успокой, 
успокой страну нашу грешную, не брось ее в час такой!
Время шутить не любит. Шутник, уйдя, подмигнул.
А вдруг не ошибся Лютер, что Богу милей богохул?
Упокой  душу, Господи , усопшего  Абрама  Твоего.
Греховничая, кусошничая, хранит в себе божество 
интеллигенции горсточка, оставшаяся в живых...
Упокой  души , Господи, неусопших  рабов  Твоих."
660	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Вот и сгорел вроде спутников..."""	1998	"Вот и сгорел вроде спутников, 
кровушки нашей отведав, 
век гениальных преступников 
и гениальных поэтов."
661	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Вдову великого поэта..."""	1999	"Вдову великого поэта 
берут враги.
Стекает зависть по заветной 
по лунной стороне ноги.
Нет, ты ему не изменила.
С подушки в темноту зеркал 
ты прошептала его имя.
Но он тебя не услыхал.
"
662	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Баллада о Мо	1996	"Словно гоголевский шнобель, 
над страной летает Мобель.
Говорит пророк с оглобель:
«Это Мобель, Мобель, Мобель 
всем транслирует, дебил, 
как он Дудаева убил.
Я читал в одной из книг —
Мобель дик».
—  А Мадонна из Зарядья 
тройню черных родила.
«Дистанционное зачатье» —  
утверждает. Ну, дела!
Ну Мобель, погоди...
Покупаю модный блейзер.
Восемь кнопочек на нем.
Нажму кнопку —  кто-то трезвый 
говорит во мне: «Прием .
Абонент  не отвечает  или временно  недоступен  
звону  злата . И  мысли , и дела  он знает  наперед ...»  
Кто мой Мобель наберет?
Секс летит на нас отдельно, 
жизни смысл отстал от денег.
Мы —  отвязанные люди, 
без иллюзий.
Мобеля лауреаты 
проникают Банку в код.
С толстым слоем шоколада 
Марс краснеет и плывет.
Ты теперь дама с собачкой -  
ляжет на спину с тоски, 
чтоб потрогала ты пальчиком 
в животе ее соски.
Если  разговариваешь  более получаса , —  
рискуешь  получить удар  самонаводящейся  ракетой .
—  Опасайтесь  связи  сотовой .
—  Особенно двухсотой .
—  Налей  без содовой .
Даже в ванной -  связи, связи, 
запредельный разговор, 
словно гул в китайской вазе, 
что важнее, чем фарфор.
Гений Мобеля создал.
Мобель гения сожрал.
Он мозгов привносит рак.
Кто без мозгов —  тот не дурак.
«Мо», - сказал Екклезиаст.
Но звенят мои штаны:
«Капитализм -  это несоветская власть 
плюс мобелизация всей страны».
Черный мобель, черный мобель 
над моею головой, 
нового сознанья модуль, 
черный мобель, я не твой!
—  Не сдадим Москву французу!
—  В наших грязях вязнет «оппель».
Как повязочка Кутузова,
в небесах летает мобель 
МОБЕЛЬМОБЕЛЬМОБЕЛЬМО-БЕЛЬМО...
Слепы мы.
Слепо время само.
Был бы у Татьяны мобель, 
то Онегину бы, кобелю, 
не писала бы письмо."
663	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Вы застали меня живым..."""	2001	"Вы застали меня живым -  
не на свалке, не на пьедестале.  
Когда все вы трупами стали,  
вы застали меня земным.
Передача идет живьем,  
передача наследства миром,
биополем, живым эфиром -  
что мы думаем, как поем.
Я вернусь в Твой край дождевой, 
дверь открою в сруб берестяный —  
я живою Тебя застану.
Как потрясно, что я живой!"
664	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Купание в росе	1997	"На лугу меж двух озер 
вне обзора от шоссе, 
как катается ковер, 
мы купаемся в росе.
Ледяные одуванчики, 
исхлеставши плечи все, 
ароматом обдавайте!
Мы купаемся в росе.
Все грехи поискупали, 
окрещенные в красе, 
не в людских слезах —  в купавиных, 
брось врачей! Купнись в росе! 
Принимай росные ванны! 
Никакого ОРЗ.
Как шурупчик высоты, 
дует шершень от шоссе —  
где тут ты? и где цветы?  
он ворчит: «Ля фам шерше...»
Милые, нас не скосили!
Равны ежику, осе, 
мы купаемся в России, 
мы купаемся в росе.
Полосатый, словно зебра —  
ну и сервис! -  след любви.
Ты в росе, в росе, в
росевросевросевро —  серва 
ландыша не раздави!..
Как приятно на веранде 
пить холодное «rosé»...
Вы купайтесь в бриллиантах!
Мы купаемся в росе."
665	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Черемуха благоуханна	1997	"Черемуха благоуханна. 
Повсюду пенятся фужеры.
Не проверяйте мне дыхания, 
хмельные милиционеры!
Замёрзшие, как богдыханы, 
лягухи певчие стесняются. 
Черемуха благоуханна.
Белеет крестик христианства.
Сказав печалям: «Гоу хоум», 
закатим, милая, в Суханово.
Альтернативою плохому
черемуха благоуханна.
Не знаю, как сказать по-русски... 
Но ухами или ухами 
слыхать: ты в уханьи порубки 
особенно благоуханна.
Пропахнет все дыханьем ромовым, 
когда, как нищенку из храма, 
я приведу домой черемуху. 
Черемуха благоуханна."
666	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Юбилейное	2001	"Я в Ригу в белых джинсах. 
Восьмисотлетье в голове.
В национальном меньшинстве. 
Но в сексуальном большинстве."
667	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Золотая синева	2001	"Сколько пляжных песчинок! 
Сколько в женщине пор! 
Внешность с первопричиной 
За Тебя ведут спор.
В каждой поре —  песчинка.
Сколько времени? Но 
все часы —  на починке! 
Время засорено.
Сколько мы насорили 
в этой жизни с Тобой! 
Скольких мы озарили 
золотой синевой!
Эти брызги сухие 
точно искры души.
Что кому вы сулили?
И кого подожгли?
Но едва опочили —  
просыпаетесь вы 
в ореоле песчинок 
золотой синевы.
Как в восторженном страхе 
вихревого столба,
Ты крутилась, вытряхивая 
целый пляж из себя!
Никакие бесчинства 
тех, кто в Юрмале был,
не заменят песчинок
ювелирную пыль!
Даже в Юрский период 
на руке бытия 
две песчинки прилипли 
и Твоя, и моя.
Что еще рассказали, 
сквозь загар не сильны, 
синячки под глазами 
золотой синевы?
Все окажется лажей. 
Вновь очутитесь вы 
в белом золоте пляжа 
и чуть-чуть синевы.
В том тумане не ясно, 
где и кто ты такой...
Я с Тобой обменяюсь 
золотою ногой."
668	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Ходит по пляжу рижскому мусорщик..."""	2001	"Ходит по пляжу рижскому мусорщик 
в белых перчатках.
К мускусным бабам, к варварской музыке 
он непричастен.
Жизни поспешные, споры о першингах, 
губ темперамент —  
в тихий мешок эти белые перчики 
нас убирают.
Русский, латыш ли —  кто кому должен? 
Время списало.
А у перчаток —  чуть желтые донышки, 
как писсуары.
Все, что звенело, что цепенело, 
душ отпечатки 
собраны революционером 
в белых перчатках."
669	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Мое время	2000	"Пришло мое время. Пускай запоздав.  
Вся жизнь —  только тренинг  
пред высшим мгновеньем.
Отходит состав.  
Пришло мое время.
Оно, мое время, взяв секундомер,
стоит на дороге.
А кто испугался, душой оскудел —  
пусть делает ноги!
Сердца миллионов колотятся в такт 
моим бумаженциям.
Со мной —  не абстракт! —
на Владимирский тракт 
пришла моя женщина.
Мы —  нищие брюхом. Как все,
погоря,
живу не в Эдеме.
Но Хлебников нынче —  ясней
букваря.
Пришло мое время.
Да здравствует время, с которым,
борясь,
мы стали, как кремний!
Крутом вероломное время сейчас. 
Но каждый в себе свое время припас. 
Внутри —  мое время.
Меня, как исчезнувшую стрекозу, 
изучат по Брему.
Ну, что на прощанье тебе я скажу? 
Пришло мое время."
670	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Наши трапезы - сладострастные..."""	1999	"Наши трапезы —  сладострастные, 
Кулинарочка ты потрясная!
Ты вбежишь, только скажешь:
«Здрасьте!"" —  
умираю от сладострастья.
Воздух утром дрожит над пряслами 
целомудренным сладострастьем. 
Полосатый арбуз матрасный 
скоро лопнет от сладострастья.
И березки дрожат за трассою —  
адидасное сладострастье.
Отдавайтесь до обладания. 
Заплывайте в любовь не в ластах!
Сладострастие сострадания.
Сострадание сладострастья.
Ты написана белым фломастером, 
пахнешь сном и зубною пастой. 
Твоя пятка —  туз пятой масти. 
Можно спятить от сладострастья!
Как я в жизни пролоботрясничал, 
выяснял отношения с властью... 
От невзгод наших спрячусь страусом 
в твое белое сладострастье."
671	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Беззвучный цвет - весь состоит из звука..."""	1999	"Беззвучный цвет —  весь состоит из звука, 
в нем слышится небесная разлука.
От этих мук Ван Гог отрезал ухо.
Пустынный дом наполнен голосами.
Они поют и пахнут круассаном. 
Прислушайтесь —  кайф колоссальный!
Как медленно ползет стрела из лука! 
Скучна мне скорость света или звука. 
Лишь скорость мысли —  сказочная штука!
Казука молча фору даст базукам.
Не без харизмы распевает щука.
И я, безукоризненная сука, 
бужу тебя любовью, а не звуком."
672	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Я тебя очень... Мы фразу не кончим..."""	1999	"Я тебя очень... Мы фразу не кончим. 
Губы на ощупь. Ты меня очень...
Точно замочки, дырочки в мочках. 
Сердца комочек чмокает очень.
Чмо нас замочит. Город нам -  отчим. 
Но ты меня очень, и я тебя очень...
Лето ли, осень, все фразу не кончим: 
«Я тебя очень...»"
673	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Есть в хлебном колосе..."""	1998	"Есть в хлебном колосе,
в часах Медведицы —
не единица скорости, 
а единица медленности.
Спешат, помятые, 
летят режимы, 
но миг —  понятие 
растяжимое.
Кайфуя в фугах, 
спешите медленно, 
найдя в Конфуции 
монады Лейбница.
Скорость кометная 
станет комедией,
когда ты медленно 
глядишь, как медиум.
В дыханье пахоты 
у перелеска 
есть медом пахнущий 
зевок релекса.
Смысл —  в черепахе, 
не в Ахиллесе.
И нечто схожее 
в любви имеется —  
не в спешке скорости, 
а в тайне медленности."
674	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Прикрыла душу нагота..."""	2001	"Прикрыла душу нагота 
Недолговечной стеклотарой.
Как хорошо, что никогда 
Я не увижу Тебя старой.
Усталой —  да, орущей —  да, 
и непричесанной, пожалуй...
Но, слава Богу, никогда 
я не увижу тебя старой!
Не подойдешь среди автографов 
Меж взбудораженной толпы —
Ручонкой сухонькой потрогав,
Не назовешь меня на ты.
От этой нежности страшенной, 
Разбухшей, как пиковый туз, 
Свое узнавши отраженье,
Я в ужасе не отшатнусь.
Дай, Господи, мне проворонить, 
Вовек трусливо не узнать 
Твой Божий свет потусторонний 
В единственно родных глазах."
675	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Исповедь Мордовской Мадонны	1996	"Прости, Господь, свободу нашу Пиррову!
Поздно, Господь. Прожектора врубили.
Мне дали денег за стриптиз —  мешок.
За проволокой лагерь мастурбировал.
По проволоке пропускали ток.
—  Давай, давай! —  вопили. Над Россией 
шел звездопад.—  Давай, давай! —
Аж автомат на вышке разрядился.
И мат татуированных секс-символов 
клубился, как девятый вал.
—  Давай, давай! —  ревут лесоповалы.
Им снились семьи, сйилось Косино.
—  Давайдавайдавайдавайдавайда...
При чем тут Вайда? Шло мое кино.
Я доставала их дистанционно —  
аж голубые перековывались!
Ни Пугачева, ни Мадонна 
не испытывали такого.
—  Давайдавайдавайдавайдавайда —  
им снились их зарезанные свадьбы.
За баб я мстила. Кто-то ржал, кто плакал, 
как будто лез на волю по столбу.
Я ненавижу тебя, лагерь.
Еще не зная, что люблю.
Давай, мой лагерь! Я —  твой путь к свободе, 
Когда душа сквозь тернии, сквозь срам 
из тела вырывается, из body 
к Прекрасной даме, недоступной нам.
Мы все —  дивайдид вайдавайдавайда,—  
сливаясь в стоне «шайбу! шайбу! шайбу!» 
Покрыла урку Блока бледнота.
В интеллигенте разразился вандал.
Айда, но не понять —  куда?
Ай да сеанс! Давайдавайдавайда...
Я ощущаю на себе, грязна, 
иного режиссера под кувалдой 
томящиеся в лагере глаза.
Кавказцы, россияне и прибалты, 
любите небо, сбросивши ножи!
Летите в тучах, дирижеров фалды! 
Динамики, с турбазы подвывайте!
Я отдалась народу под Вивальди. 
Искусство —  мастурбация души.
Честнее всенародно, чем приватно. 
Господь, прости меня и накажи.
Зачем, скажи, для денежного фарта 
Меня ты отдал дьяволам в ночи?
В тайваньских джинсах, тайной 
замордованной,
пройду я, безымянна для людей, 
став неизвестной копией Мадонны, 
порн —  но звезда мордовских лагерей.
Меня потом искали люди зоны, 
в мечтах озолотив или зарезав. 
Крутились диски телефонов.
Крутились диски «мерседесов».
Дышала ночь острогом сладострастья.
За жизнь я мужиков имела —  класс! —  
но с ними не испытывала счастья...
Я отвлеклась...
Когда ж прожектор вырубил затейник —  
—  «набисдавайдавайдавайнабис» —  
я подожгла мешок проклятых денег. 
Взвыл лагерь. Продолжается стриптиз.
Пылает тело в свете грязных денег... 
Паришь дистанционно Ты, 
как недоступное виденье , 
как гений  чистой  красоты .
Потом сквозь давку и асфальты 
идешь одна на фестиваль 
и слышишь: «Вайда, вайдавайдавайда 
вайдавайдавайдавайдавайдавай»."
676	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Лифт застрял	2001	"В лифте, застрявшем от перегрузки, 
под потолком в виде капель наш выдох 
ты по-английски сказала: «Вы —  русские. 
Где выход?»
Русская тема, пардон, моветонная!
Век свихнут.
Кровь кровью мы ищем, духовные доноры, 
свой выход.
Чавкает сердце. Темень и сетка. 
Спичкою вспыхнут.
Кто-то под юбкою у соседки 
ишь, ищет выход.
Шлемы трещали электросваркой.
Но этот выход
не находил гениальнейший Вагнер 
Рихард!
Рафаэль Санти, лгать перестаньте!
Секс колбасится.
Пошлость витрин провоцирует антиглобалиста
Вы хоть Россию избавьте от правил 
взаимовыгод...
«Выхода нет, — проповедовал Павел. — 
Значит, есть выход».
И двоерукий Христос над оравой 
путь указал человеку и выхухолю: 
то ли налево, то ли направо?
Где выход?
Нету идеи. Как неприкаянно 
где-то, без тела,
воет без нас, потерявши хозяина,
бродит идея.
Я вырываюсь из лифтовой клетки,
выломав дверцы.
Нет входа в рай. Снова шахта и сетка.
Нет входа в сердце.
Петр искривится улыбкой месяца. 
Черна свобода.
Выхода нету? Выход имеется. 
Только нет входа."
677	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Trade Center	2001	"Америка по всем программам. 
«На что способен Человек?»
В глазах —  обломки черной рамы. 
НЕ ПОНИМАЮ НИЧЕГО.
Все это было не макетом, 
не Голливуд на нас попер.
Ревет дымящийся Манхэттен, 
как потерявший зуб бобер.
Чей
САМОЛЕТ
вбит
в стену
кляксой?
От тыщи жизней уволок. 
Цивилизация в коллапсе.
Избави Бог! Избави Бог!
И траффик душ, спеша расстаться, 
крутился зло и горячо.
Кому несут москвички астры? 
Кому еще?.. Кому еще?..
И сероглазую студентку, 
глазевшую на Пентагон, 
оберегите, не заденьте!
Скорее, милая, бегом.
Есть вечность зла.
Есть свет и вечность.
Дышала, схожая с Тобой, 
мучительная человечность —  
какой ценой? какой ценой? 
Цивилизация в коллапсе.
По темным лестницам кружа, 
больную вынесли в коляске 
с 68-го этажа.
Как здорово, что столько доноров. 
У крови лидеры свои.
Смысл жизни не в рублях и долларах,
а на крови, а на крови.
Нам остается только тайна. 
Осталась пыль. Остался гул 
от сухопутного «Титаника», 
который в небе затонул.
Большая кровь побила рейтинг 
былых эпох. На что нам, Бог, 
кровавого тысячелетия 
непредсказуемый пролог?
Иное наступает время.
Иные слава и позор 
еще не ощутимы всеми.
Но счет пошел, но счет пошел. 
Все будет: счастье, мелодрамы, 
успех, в любви —  волюнтаризм. 
Но в черной раме, в черной раме 
на всю оставшуюся жизнь."
678	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	11.IX	2001	"11.IX
Одиннадцатого сен-тября, 
сен-тибра и сен-тепла, 
сен-табора, сен-базара, 
соседского сенбернара, 
влюбленного в сен-Тебя?
И птичьи сен-караваны, 
несущиеся, трубя...
Сен-Библии, сен-Корана, 
сен-Торы и сен-террора?
След стибренного урана?
И в небе зрачком обзора 
застывшие ястреба.
Одиннадцатого сентября 
пила ты из кружки этой, 
два башенных силуэта 
в «11» соберя.
Трецд-цешр еще не был сен-центром. 
Мы жили по старым сентенциям 
любви и морали для 
(и мира не переделя).
От ужаса можно сдвинуться!
И я сентября одиннадцатого,
одиннадцатого сентября 
проснулся в чужой гостинице 
от крика нетопыря.
И прошлого века фразы 
уносятся к Богу в рай:
«We must love each other 
or die».
Меж ужаса центробежного 
ответил новый Сент-Бев: 
«Поскольку смерть неизбежна, —  
любите любовь».
И третий ушедший в светопись, 
сказал, сухой как самум:
«Мораль -  не любовь и ненависть, 
а ум...»
Пошло мозгов расчленение.
И кружка разбилась, бля!..
ШЛО НОВОЕ ЛЕТОИСЧИСЛЕНИЕ  
С 11 СЕНТЯБРЯ."
679	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Беглянка	2001	"Ты, душа от жизни сирой 
убежала из России.
Нынче в страхе и истерике 
убегаешь из Америки.
Убегаешь из пространства, 
из себя, из общих мест.
Вся Ты состоишь из странствий 
и недостижимых мечт.
Твои нервы на пределе.
Ты домой куда-нибудь 
прилетаешь на неделю 
выспаться и отдохнуть.
Самолет заполнен матом, 
взвинченностью стюардесс. 
Твой сосед дыханьем мятным 
снимет стресс.
Слева спят —  не мама с дочкой,
а похоже, две сестры, 
две блуждающие точки 
исстрадавшейся страны.
Край родимый! В горле гвоздики... 
В сердце —  небоскреб трухой. 
Двум березкам в дроглом воздухе 
прописали бег трусцой.
Не заметит «Шереметьево»: 
в Твой карман, неистребим, 
юркнет шарик, шельмой меченой 
наркотических рябин.
Скинув ризы желтых вязов, 
на Тебя слезами брызнет 
родина сибирской язвы, 
«Троицы» и терроризма."
680	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Если были б чемпионаты..."" (по мотивам Р. Гамзатова) …."	1960	"Если были б чемпионаты, 
кто в веках по убийствам первый, -  
ты бы выиграл, Век Двадцатый. 
Усмехается Век Двадцать Первый.
Если были б чемпионаты, 
кто по лжи и подлостям первый,
ты бы выиграл, Век Двадцатый. 
Усмехается Век Двадцать Первый.
Если были б чемпионаты, 
кто по подвигам первый, —  
нет нам равных, мой Век Двадцатый!.. 
Безмолвствует Двадцать Первый."
681	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	"""Прими, Господь, поэта улиц..."""	1998	"Прими, Господь, поэта улиц 
и со Святыми упокой 
за соколиную сутулость, 
нахохленную над струной.
Прощай, Булат. Политехнический. 
И те, кто рядышком сидят.

Твой хрипловатый катехизис - 
нам как пароль. Прости, Булат...
Он жил, как жить должны артисты. 
По-христиански опочил. 
Стихами, в бытность атеистом, 
Тебе он, Господи, служил."
682	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Пластинка	1998	"Старая песенка  
мне боль ослабила,  
сняла все прессинги,  
как раньше, набело,  
легла мне на сердце,  
на «раза табула»-
табулатабулатабулатабула табулатабулатабулатабула табулатабулатабулатабула табулатабулатабулатабула табулатабулатабулатабула табулатабулатабулатабула

булата сердце  
игла корябала
нам на усладу"
683	"ПИСЬМА ИЗ ""ЖЕЛТОГО ДОМА"""	Нет времени	2000	"Нет времени читать статьи глупцов, 
набрать грибов ни в Бологом,
ни в Бремене 
нет времени. И даже на любовь 
нет времени.
Нет времени ладони завести 
за голову в оцепенении.
Едва подаришь девушке цветы —  
уже беременна.
Нет времени увидеть хвост событ —  
и я иного измерения.
Нет времени Тебя забыть 
хоть временно!
Проносимся вне скоростей, 
вне прений —
и абсолютно не бывает времени
узнать, что спела птичка коростель.
Такая безвременщина идет, 
черная месса!
Ремнями пристегнуться, идиот, 
ты не нашел ни времени, ни места.
Время —  душа пространства.
Не спеша
хоть это уясни без озверения. 
Места остались. Но душа ушла!
НЕТ ВРЕМЕНИ."
